	base	clouds	cod	coord	dt	id	main	name	rain	sys	visibility	weather	wind
0	stations	{'all': 80}	200	{'lon': 78.32, 'lat': 30.62}	1546711948	1253628	{'temp': 31.29, 'pressure': 786.29, 'humidity': 100, 'temp_min': 31.29, 'temp_max': 31.29, 'sea_level': 1034.78, 'grnd_level': 786.29}	Dunda		{'message': 0.0542, 'country': 'IN', 'sunrise': 1546652687, 'sunset': 1546689589}		[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]	{'speed': 1.7, 'deg': 55}
1	stations	{'all': 0}	200	{'lon': -70.91, 'lat': -53.16}	1546711200	3874787	{'temp': 52.41, 'pressure': 990, 'humidity': 46, 'temp_min': 51.8, 'temp_max': 53.6}	Punta Arenas		{'type': 1, 'id': 8487, 'message': 0.0578, 'country': 'CL', 'sunrise': 1546676839, 'sunset': 1546737042}	10000.0	[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]	{'speed': 32.21, 'deg': 290, 'gust': 20.6}
2	stations	{'all': 0}	200	{'lon': 19.24, 'lat': -34.42}	1546711949	3366880	{'temp': 68.28, 'pressure': 991.45, 'humidity': 63, 'temp_min': 68.28, 'temp_max': 68.28, 'sea_level': 1030.65, 'grnd_level': 991.45}	Hermanus		{'message': 0.0036, 'country': 'ZA', 'sunrise': 1546659465, 'sunset': 1546711155}		[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]	{'speed': 4.83, 'deg': 142.5}
3	stations	{'all': 1}	200	{'lon': -83.32, 'lat': 43.05}	1546710960	4998842	{'temp': 42.22, 'pressure': 1006, 'humidity': 83, 'temp_min': 39.2, 'temp_max': 45.5}	Lapeer		{'type': 1, 'id': 3780, 'message': 0.0059, 'country': 'US', 'sunrise': 1546693483, 'sunset': 1546726409}	11265.0	[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]	{'speed': 8.05, 'deg': 240}
4	stations	{'all': 88}	200	{'lon': 169.85, 'lat': -46.28}	1546711950	2208248	{'temp': 53.84, 'pressure': 1003.61, 'humidity': 91, 'temp_min': 53.84, 'temp_max': 53.84, 'sea_level': 1020.31, 'grnd_level': 1003.61}	Kaitangata	{'3h': 0.475}	{'message': 0.0034, 'country': 'NZ', 'sunrise': 1546621004, 'sunset': 1546677291}		[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]	{'speed': 9.19, 'deg': 272}
5	stations	{'all': 100}	200	{'lon': -139.03, 'lat': -9.8}	1546711950	4020109	{'temp': 81.51, 'pressure': 1027.04, 'humidity': 99, 'temp_min': 81.51, 'temp_max': 81.51, 'sea_level': 1027.08, 'grnd_level': 1027.04}	Atuona		{'message': 0.0733, 'country': 'PF', 'sunrise': 1546700502, 'sunset': 1546746123}		[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]	{'speed': 16.46, 'deg': 73.5}
6	stations	{'all': 0}	200	{'lon': 115.35, 'lat': -33.64}	1546711951	2075265	{'temp': 65.94, 'pressure': 1030.12, 'humidity': 100, 'temp_min': 65.94, 'temp_max': 65.94, 'sea_level': 1031.3, 'grnd_level': 1030.12}	Busselton		{'message': 0.0072, 'country': 'AU', 'sunrise': 1546636507, 'sunset': 1546687968}		[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]	{'speed': 20.94, 'deg': 144}
7	stations	{'all': 90}	200	{'lon': -76.09, 'lat': 39.55}	1546710840	4357617	{'temp': 45.79, 'pressure': 1000, 'humidity': 100, 'temp_min': 42.8, 'temp_max': 48.02}	Havre de Grace		{'type': 1, 'id': 4995, 'message': 0.0078, 'country': 'US', 'sunrise': 1546691106, 'sunset': 1546725313}	11265.0	[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]	{'speed': 13.87, 'deg': 280}
8	stations	{'all': 75}	200	{'lon': -78.55, 'lat': -0.39}	1546711200	3652462	{'temp': 75.2, 'pressure': 1025, 'humidity': 29, 'temp_min': 75.2, 'temp_max': 75.2}	San Cristobal		{'type': 1, 'id': 8555, 'message': 0.0172, 'country': 'EC', 'sunrise': 1546686932, 'sunset': 1546730656}	10000.0	[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]	{'speed': 5.82, 'deg': 340}
9	stations	{'all': 24}	200	{'lon': 102.47, 'lat': 71.98}	1546711952	2022572	{'temp': -27.98, 'pressure': 1016.91, 'humidity': 44, 'temp_min': -27.98, 'temp_max': -27.98, 'sea_level': 1022.46, 'grnd_level': 1016.91}	Khatanga		{'message': 0.0198, 'country': 'RU', 'sunrise': 0, 'sunset': 0}		[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]	{'speed': 3.83, 'deg': 10.5}
